"","SiteID","PithouseID","PithouseOriginalID","Phase","SimplifiedPhase","Reference"
"137","10160","10160-005",NA,"Kasori E",NA,NA
"138","10160","10160-006",NA,"Horinouchi","Horinouchi",NA
"139","10160","10160-007",NA,"Horinouchi","Horinouchi",NA
"140","10177","10177-002","3","Kasori EI (up to)","Kasori E (early)","千葉市迎山遺跡　千葉市文化材調査協会　1987"
"141","10177","10177-003","4","Otamadai","Otamadai-Katsuzaka","千葉市迎山遺跡　千葉市文化材調査協会　1987"
"142","10177","10177-004","5","Nakabyo",NA,"千葉市迎山遺跡　千葉市文化材調査協会　1987"
"143","10177","10177-005","6","Kasori EI (up to)","Kasori E (early)","千葉市迎山遺跡　千葉市文化材調査協会　1987"
"144","10177","10177-006","7","Kasori EII (up to)","Kasori E (early)","千葉市迎山遺跡　千葉市文化材調査協会　1987"
"145","10177","10177-007","8","Kasori EII (up to)","Kasori E (early)","千葉市迎山遺跡　千葉市文化材調査協会　1987"
"146","10250","10250-001","1a","Horinouchi 1","Horinouchi","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"147","10250","10250-002","1b","Horinouchi 1","Horinouchi","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"148","10250","10250-003","4","Horinouchi 1","Horinouchi","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"149","10250","10250-004","2","Kasori B","Kasori B","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"150","10272","10272-001","15","Horinouchi 1","Horinouchi","駒込遺跡 千葉市遺跡調査会　1984"
"151","10272","10272-002","23","Horinouchi 1","Horinouchi","駒込遺跡 千葉市遺跡調査会　1984"
"152","10272","10272-003",NA,"Horinouchi 1","Horinouchi","駒込遺跡 千葉市遺跡調査会　1984"
"153","10272","10272-004",NA,"Horinouchi 1","Horinouchi","駒込遺跡 千葉市遺跡調査会　1984"
"154","10273","10273-001","14","Kasori EII","Kasori E (early)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"155","10273","10273-002","16a","Horinouchi 1","Horinouchi","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"156","10273","10273-003","16b","Kasori EII -EIII",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"157","10273","10273-004","21","Kasori EII -EIII",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"158","10273","10273-005","22","Kasori EII -EIII",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"159","10273","10273-006","23","Kasori EII -EIII",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"160","10273","10273-007","25","Kasori EII -EIII",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"161","10273","10273-008","26","Kasori EII -EIII",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"162","10273","10273-009","27","Kasori EIII","Kasori E (late)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"163","10273","10273-010","28","Horinouchi 1","Horinouchi","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"164","10273","10273-011","39","Kasori EIII","Kasori E (late)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"165","10273","10273-012","50","Kasori EIII","Kasori E (late)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"166","10273","10273-013","57","Horinouchi 1","Horinouchi","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"167","10273","10273-014","58","Jomon",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"168","10273","10273-015","59","Kasori EIII","Kasori E (late)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"169","10273","10273-016","60","Kasori EIII","Kasori E (late)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"170","10273","10273-017","61","Jomon",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"171","10273","10273-018","62","Jomon",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"172","10273","10273-019","63","Jomon",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"173","10273","10273-020","79","Kasori B","Kasori B","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"174","10273","10273-021","85","Kasori EII -EIII",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"175","10273","10273-022","91","Kasori EII","Kasori E (early)","千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"176","10273","10273-023","99","Kasori EII -EIII",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"177","10273","10273-024","106","Kasori EII -EIII",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"178","10273","10273-025","108","Jomon",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
"179","10273","10273-026","113","Jomon",NA,"千葉市芳賀輪遺跡　千葉市教育委員会　2007"
