"YearBCE","Sites","SPD"
-4990,21,0.0726404874
-4989,21,0.07206763
-4988,21,0.0714884274
-4987,21,0.0709031035
-4986,21,0.0703116804
-4985,21,0.0697128761
-4984,21,0.0691065929
-4983,21,0.0684929518
-4982,21,0.0678718975
-4981,21,0.0672437872
-4980,21,0.0666273484
-4979,21,0.0660230203
-4978,21,0.0654314435
-4977,21,0.0648535097
-4976,21,0.0642899223
-4975,21,0.0637393096
-4974,21,0.0632041311
-4973,21,0.0626870548
-4972,21,0.0621902817
-4971,21,0.061716317
-4970,21,0.0612348152
-4969,21,0.0607486245
-4968,21,0.0602613109
-4967,21,0.0597764195
-4966,21,0.0592974334
-4965,21,0.0588283131
-4964,21,0.0583704202
-4963,21,0.0579251116
-4962,21,0.057493735
-4961,21,0.0570776244
-4960,21,0.0566667902
-4959,21,0.0562645388
-4958,21,0.055874193
-4957,21,0.0554988876
-4956,21,0.0551420514
-4955,21,0.0547931321
-4954,21,0.054451754
-4953,21,0.0541183355
-4952,21,0.0537928895
-4951,21,0.0534756299
-4950,21,0.0531537921
-4949,21,0.0528277224
-4948,21,0.0524977692
-4947,21,0.0521642824
-4946,21,0.0518270187
-4945,21,0.0514826767
-4944,21,0.0511316194
-4943,21,0.0507742138
-4942,21,0.0504110334
-4941,21,0.050042061
-4940,21,0.0496802877
-4939,21,0.0493260707
-4938,21,0.0489799499
-4937,21,0.0486420629
-4936,21,0.0483127485
-4935,21,0.0480001595
-4934,21,0.0477050378
-4933,21,0.0474284851
-4932,21,0.0471717777
-4931,21,0.046935775
-4930,21,0.0467058946
-4929,21,0.0464823588
-4928,21,0.0462653894
-4927,21,0.0460552077
-4926,21,0.0458520339
-4925,21,0.0456904139
-4924,21,0.045572109
-4923,21,0.0454991178
-4922,21,0.0454732362
-4921,21,0.0454960923
-4920,21,0.0455672408
-4919,21,0.0456848728
-4918,21,0.0458461928
-4917,21,0.0460487498
-4916,21,0.0462898443
-4915,21,0.0465259168
-4914,21,0.0467560162
-4913,21,0.0469791628
-4912,21,0.0471943509
-4911,21,0.0474007692
-4910,21,0.047629976
-4909,21,0.0478793819
-4908,21,0.0481463353
-4907,21,0.0484279408
-4906,21,0.0487211821
-4905,21,0.0490143553
-4904,21,0.0493076585
-4903,21,0.0496008939
-4902,21,0.0498938657
-4901,21,0.0501863795
-4900,21,0.0504831351
-4899,21,0.0507837823
-4898,21,0.0510879689
-4897,21,0.0513953412
-4896,21,0.0517059382
-4895,21,0.0519896502
-4894,21,0.0522471135
-4893,21,0.0524792821
-4892,21,0.0526865569
-4891,21,0.0528699996
-4890,21,0.0530027936
-4889,21,0.0530910503
-4888,21,0.0531412448
-4887,21,0.0531610328
-4886,21,0.0531575842
-4885,21,0.0531573869
-4884,21,0.0531607378
-4883,21,0.0531679229
-4882,21,0.0531792108
-4881,21,0.053194853
-4880,21,0.0532284171
-4879,21,0.0532821679
-4878,21,0.0533580248
-4877,21,0.0534580151
-4876,21,0.0535840198
-4875,21,0.0537272474
-4874,21,0.0538884567
-4873,21,0.0540682984
-4872,21,0.0542670409
-4871,21,0.0544844197
-4870,21,0.0547370031
-4869,21,0.0550257974
-4868,21,0.055351849
-4867,21,0.0557153077
-4866,21,0.0561158694
-4865,21,0.0565780489
-4864,21,0.0571017057
-4863,21,0.0576857106
-4862,21,0.0583290646
-4861,21,0.0590302615
-4860,21,0.059736861
-4859,21,0.0604479829
-4858,21,0.0611629357
-4857,21,0.0618809997
-4856,21,0.062601426
-4855,21,0.0633475447
-4854,21,0.0641179053
-4853,21,0.0649111506
-4852,21,0.0657256797
-4851,21,0.0665598731
-4850,21,0.0674033001
-4849,21,0.0682558314
-4848,21,0.0691173524
-4847,21,0.0699875592
-4846,21,0.0708659514
-4845,21,0.0717657466
-4844,21,0.0726856427
-4843,21,0.073623825
-4842,21,0.0745792418
-4841,21,0.0755503531
-4840,21,0.076534235
-4839,21,0.0775204044
-4838,21,0.0784987671
-4837,21,0.0794574216
-4836,21,0.0803856534
-4835,21,0.0813391869
-4834,21,0.0823155431
-4833,21,0.0833117972
-4832,21,0.0843249841
-4831,21,0.0853519424
-4830,21,0.0863760889
-4829,21,0.0873945179
-4828,21,0.0884044475
-4827,21,0.0894029744
-4826,21,0.0903873321
-4825,21,0.0913524063
-4824,21,0.0922937154
-4823,21,0.0932068629
-4822,21,0.0940880734
-4821,21,0.0949343205
-4820,21,0.0957493293
-4819,21,0.0965296381
-4818,21,0.0972717112
-4817,21,0.0979729958
-4816,21,0.0986319467
-4815,21,0.0992586208
-4814,21,0.0998521701
-4813,21,0.1004128745
-4812,21,0.1009409815
-4811,21,0.1014369032
-4810,21,0.1019162302
-4809,21,0.102378917
-4808,21,0.1028249416
-4807,21,0.1032542973
-4806,21,0.1036667982
-4805,21,0.1040537304
-4804,21,0.1044168267
-4803,21,0.1047569122
-4802,21,0.1050754286
-4801,21,0.1053738246
-4800,21,0.1056632096
-4799,21,0.1059436414
-4798,21,0.1062151617
-4797,21,0.1064780001
-4796,21,0.1067325816
-4795,21,0.1070014623
-4794,21,0.1072843651
-4793,21,0.1075811568
-4792,21,0.1078912524
-4791,21,0.1082142623
-4790,21,0.1085748432
-4789,21,0.108976683
-4788,21,0.1094229323
-4787,21,0.1099173702
-4786,21,0.1104630768
-4785,21,0.110975993
-4784,21,0.1114574285
-4783,21,0.1119087767
-4782,21,0.1123314904
-4781,21,0.1127272414
-4780,21,0.1131028936
-4779,21,0.1134583036
-4778,21,0.1137935604
-4777,21,0.1141087853
-4776,21,0.1144041378
-4775,21,0.1146785541
-4774,21,0.1149336927
-4773,21,0.1151709893
-4772,21,0.1153918095
-4771,21,0.1155974358
-4770,21,0.1157854039
-4769,21,0.115957282
-4768,21,0.11611486
-4767,21,0.1162594354
-4766,21,0.1163919797
-4765,21,0.116513647
-4764,21,0.116625094
-4763,21,0.1167268219
-4762,21,0.1168192189
-4761,21,0.1169027842
-4760,21,0.1169773158
-4759,21,0.1170426019
-4758,21,0.1170984626
-4757,21,0.1171447644
-4756,21,0.1171814315
-4755,21,0.1172232441
-4754,21,0.1172683128
-4753,21,0.1173154353
-4752,21,0.117362781
-4751,21,0.1174083527
-4750,21,0.117453264
-4749,21,0.1174937516
-4748,21,0.1175262577
-4747,21,0.1175476406
-4746,21,0.1175557528
-4745,21,0.1175489847
-4744,21,0.1175267477
-4743,21,0.1174887426
-4742,21,0.1174349735
-4741,21,0.1173657484
-4740,21,0.1172849298
-4739,21,0.1171926921
-4738,21,0.1170893617
-4737,21,0.1169756384
-4736,21,0.1168519111
-4735,21,0.1167168072
-4734,21,0.1165717434
-4733,21,0.1164177387
-4732,21,0.1162557512
-4731,21,0.1160869558
-4730,21,0.1159173485
-4729,21,0.1157473923
-4728,21,0.1155779178
-4727,21,0.1154095166
-4726,21,0.1152427413
-4725,21,0.1150752774
-4724,21,0.1149071295
-4723,21,0.1147383018
-4722,21,0.1145687989
-4721,21,0.1143986254
-4720,21,0.1142230663
-4719,21,0.1140424919
-4718,21,0.1138572876
-4717,21,0.1136678505
-4716,21,0.1134743992
-4715,21,0.1132716119
-4714,21,0.1130586367
-4713,21,0.1128333436
-4712,21,0.1125945333
-4711,21,0.1123402004
-4710,21,0.1120772942
-4709,21,0.1118058004
-4708,21,0.111525463
-4707,21,0.1112367268
-4706,21,0.1109396136
-4705,21,0.11062902
-4704,21,0.1103065508
-4703,21,0.1099741679
-4702,21,0.1096336761
-4701,21,0.1092872632
-4700,21,0.1089422432
-4699,21,0.1086024506
-4698,21,0.1082715154
-4697,21,0.1079526528
-4696,21,0.1076480851
-4695,21,0.1073497677
-4694,21,0.1070588554
-4693,21,0.1067762651
-4692,21,0.1065026504
-4691,21,0.1062383901
-4690,21,0.1059859718
-4689,21,0.1057457293
-4688,21,0.1055172441
-4687,21,0.1052999219
-4686,21,0.1050934774
-4685,21,0.1049013662
-4684,21,0.1047223403
-4683,21,0.1045555476
-4682,21,0.104400194
-4681,21,0.1042550819
-4680,21,0.1041057462
-4679,21,0.1039520677
-4678,21,0.1037935649
-4677,21,0.103630215
-4676,21,0.1034624417
-4675,21,0.1032916152
-4674,21,0.1031177217
-4673,21,0.1029407501
-4672,21,0.1027606924
-4671,21,0.1025775438
-4670,21,0.1024003582
-4669,21,0.1022290644
-4668,21,0.1020635906
-4667,21,0.1019038654
-4666,21,0.101749815
-4665,21,0.1016110391
-4664,21,0.1014881979
-4663,21,0.1013835832
-4662,21,0.1012981264
-4661,21,0.101233549
-4660,21,0.1011859399
-4659,21,0.1011556217
-4658,21,0.1011431349
-4657,21,0.1011480955
-4656,21,0.1011709359
-4655,21,0.1012006785
-4654,21,0.1012372994
-4653,21,0.1012805426
-4652,21,0.1013305626
-4651,21,0.1013871139
-4650,21,0.1014371762
-4649,21,0.1014804725
-4648,21,0.1015169405
-4647,21,0.1015469956
-4646,21,0.1015702439
-4645,21,0.1015870956
-4644,21,0.1015975868
-4643,21,0.1016014146
-4642,21,0.1015983474
-4641,21,0.1015888903
-4640,21,0.1015713508
-4639,21,0.1015455399
-4638,21,0.101511725
-4637,21,0.1014706022
-4636,21,0.1014223525
-4635,21,0.101366961
-4634,21,0.1013044229
-4633,21,0.1012347482
-4632,21,0.1011579622
-4631,21,0.1010742889
-4630,21,0.1009940836
-4629,21,0.1009177172
-4628,21,0.1008455535
-4627,21,0.1007777267
-4626,21,0.1007139444
-4625,21,0.1006506128
-4624,21,0.100587844
-4623,21,0.1005257524
-4622,21,0.1004644554
-4621,21,0.1004040726
-4620,21,0.1003392562
-4619,21,0.1002700137
-4618,21,0.1001963591
-4617,21,0.1001183127
-4616,21,0.1000358933
-4615,21,0.0999446751
-4614,21,0.0998449346
-4613,21,0.0997365979
-4612,21,0.0996200235
-4611,21,0.0994955885
-4610,21,0.0993645235
-4609,21,0.0992270475
-4608,21,0.0990834026
-4607,21,0.098934049
-4606,21,0.0987792336
-4605,21,0.0986207155
-4604,21,0.0984585989
-4603,21,0.0982929931
-4602,21,0.0981240121
-4601,21,0.0979519688
-4600,21,0.0977859841
-4599,21,0.0976263796
-4598,21,0.0974732614
-4597,21,0.0973262572
-4596,21,0.0971858031
-4595,21,0.0970547119
-4594,21,0.0969329892
-4593,21,0.0968209749
-4592,21,0.096718933
-4591,21,0.0966263837
-4590,21,0.0965426514
-4589,21,0.0964675726
-4588,21,0.0964011265
